Date,Price
2014-12-12,0.0002053219253861
2014-12-13,0.0002008612279749
2014-12-14,0.0001939768934533
2014-12-15,0.0001870285117432
2014-12-16,0.0001732570237299
2014-12-17,0.0001805325685316
2014-12-18,0.0001750529977597
2014-12-19,0.000193302940911
2014-12-20,0.0002060479378786
2014-12-21,0.0001920997113053
2014-12-22,0.0001943159107392
2014-12-23,0.0001936733292756
2014-12-24,0.0001873556505764
2014-12-25,0.0001841420712506
2014-12-26,0.0001907312883682
2014-12-27,0.0001823683871638
2014-12-28,0.0001826945613512
2014-12-29,0.000181085817045
2014-12-30,0.0001782490374248
2014-12-31,0.000185516387932
2015-01-01,0.0001831137664795
2015-01-02,0.000183525729778
2015-01-03,0.0001678160253089
2015-01-04,0.0001581355927103
2015-01-05,0.0001603355629293
2015-01-06,0.000168992435625
2015-01-07,0.0001734886767812
2015-01-08,0.0001691201979205
2015-01-09,0.0001710066059596
2015-01-10,0.0001637003402635
2015-01-11,0.0001606266982707
2015-01-12,0.0001568983352171
2015-01-13,0.0001339784049803
2015-01-14,0.0001141626196339
2015-01-15,0.0001405072675572
2015-01-16,0.0001406177768572
2015-01-17,0.0001355270498644
2015-01-18,0.0001380931969469
2015-01-19,0.0001404954634878
2015-01-20,0.0001410960358787
2015-01-21,0.0001531236249056
2015-01-22,0.0001549701916133
2015-01-23,0.0001558257986637
2015-01-24,0.000166024078308
2015-01-25,0.0001677139062713
2015-01-26,0.0001632804238374
2015-01-27,0.0001594845415483
2015-01-29,0.0001448878491876
2015-01-30,0.000141910596725
2015-01-31,0.000138354237727
2015-02-01,0.0001437397894752
2015-02-02,0.0001508348885725
2015-02-03,0.0001458445656691
2015-02-04,0.0001451992331448
2015-02-05,0.0001397586835397
2015-02-06,0.0001441277342183
2015-02-07,0.0001450535172869
2015-02-08,0.0001416469255872
2015-02-09,0.0001405522233699
2015-02-10,0.0001398243440906
2015-02-11,0.0001384318979907
2015-02-12,0.0001407223221224
2015-02-13,0.0001429196020157
2015-02-14,0.0001505739946475
2015-02-15,0.0001411269090362
2015-02-16,0.0001440185768861
2015-02-17,0.0001456355090411
2015-02-18,0.0001411559749786
2015-02-19,0.0001442317948499
2015-02-20,0.0001429608008966
2015-02-21,0.0001433277145681
2015-02-22,0.0001402116340543
2015-02-23,0.0001408423364769
2015-02-24,0.0001413551373143
2015-02-25,0.0001423687354122
2015-02-26,0.0001423075469369
2015-02-27,0.0001457183452562
2015-02-28,0.0001445617112588
2015-03-01,0.0001458840822602
2015-03-02,0.000145354402505
2015-03-03,0.0001432170476052
2015-03-04,0.0001427455584755
2015-03-05,0.0001402008916365
2015-03-06,0.0001405873981065
2015-03-07,0.0001402809754515
2015-03-08,0.0001398690864923
2015-03-09,0.0001424114907857
2015-03-10,0.0001390459226183
2015-03-11,0.0001431425654019
2015-03-12,0.0001420571074374
2015-03-13,0.0001405246682054
2015-03-14,0.0001424621367461
2015-03-15,0.0001415152303896
2015-03-16,0.0001442812544677
2015-03-17,0.0001433076803605
2015-03-18,0.0001309760132581
2015-03-19,0.0001335648236842
2015-03-20,0.00013186525088
2015-03-21,0.0001307854355888
2015-03-22,0.000132127496961
2015-03-23,0.0001366310431392
2015-03-24,0.0001292849719853
2015-03-25,0.0001301269898651
2015-03-26,0.000131240118825
2015-03-27,0.0001274011490628
2015-03-28,0.0001303783718843
2015-03-29,0.0001260962740451
2015-03-30,0.0001261211987774
2015-03-31,0.0001245357970472
2015-04-01,0.0001262202999291
2015-04-02,0.0001269681634855
2015-04-03,0.0001271436689333
2015-04-04,0.0001259882083423
2015-04-05,0.0001250901249831
2015-04-06,0.0001230470562087
2015-04-07,0.0001207586643108
2015-04-08,0.0001161675416273
2015-04-09,0.0001151274343228
2015-04-10,0.0001122516757438
2015-04-11,0.0001138920092402
2015-04-12,0.0001124365987939
2015-04-13,0.0001067864061352
2015-04-14,0.0001021991643644
2015-04-15,0.000105309148094
2015-04-16,0.0001084069091793
2015-04-17,0.000106998901229
2015-04-18,0.0001053706485754
2015-04-19,0.0001060685945124
2015-04-20,0.0001028844798998
2015-04-21,0.0001094828464343
2015-04-22,0.0001097494144166
2015-04-23,0.0001090008906237
2015-04-24,0.0001042349689707
2015-04-25,0.0001033500255699
2015-04-26,9.902880998164614e-05
2015-04-27,0.0001043614700883
2015-04-28,9.863301675992704e-05
